timestamp,pos_x,pos_y,pos_z
1767952725.6624298,-0.00030804710695520043,0.0012821194250136614,0.001245172694325447
1767952725.6661265,-0.0003140723565593362,0.001307844533585012,0.0012627653777599335
1767952725.6700692,-0.0003140723565593362,0.001307844533585012,0.0012627653777599335
1767952725.6739764,-0.0003140723565593362,0.001307844533585012,0.0012627653777599335
1767952725.6779358,-0.0003223776875529438,0.0013345552142709494,0.0012774821370840073
1767952725.6819139,-0.0003322343109175563,0.0013613869668915868,0.0012918151915073395
1767952725.6858723,-0.0003322343109175563,0.0013613869668915868,0.0012918151915073395
1767952725.6898286,-0.0003322343109175563,0.0013613869668915868,0.0012918151915073395
1767952725.693799,-0.0003442354791332036,0.0013869734248146415,0.0013076066970825195
1767952725.6977644,-0.000361873913789168,0.0014132147189229727,0.0013250242918729782
1767952725.701711,-0.000361873913789168,0.0014132147189229727,0.0013250242918729782
1767952725.7056916,-0.000361873913789168,0.0014132147189229727,0.0013250242918729782
1767952725.70967,-0.0003851514193229377,0.0014406504342332482,0.0013247542083263397
1767952725.7136674,-0.0003851514193229377,0.0014406504342332482,0.0013247542083263397
1767952725.71766,-0.00041405000956729054,0.0014683715999126434,0.0013270936906337738
1767952725.721584,-0.0004439521871972829,0.0014966666931286454,0.0013310536742210388
1767952725.7255688,-0.0004439521871972829,0.0014966666931286454,0.0013310536742210388
1767952725.7295191,-0.0004439521871972829,0.0014966666931286454,0.0013310536742210388
1767952725.7335002,-0.0004734153626486659,0.0015276048798114061,0.0013366211205720901
1767952725.737487,-0.0005045370780862868,0.0015620847698301077,0.0013464633375406265
1767952725.7414553,-0.0005045370780862868,0.0015620847698301077,0.0013464633375406265
1767952725.7454352,-0.0005045370780862868,0.0015620847698301077,0.0013464633375406265
1767952725.7494228,-0.000539952190592885,0.0015982009936124086,0.0013572834432125092
1767952725.7533994,-0.000539952190592885,0.0015982009936124086,0.0013572834432125092
1767952725.7573802,-0.0005774343153461814,0.0016337551642209291,0.0013918355107307434
1767952725.7613668,-0.0005774343153461814,0.0016337551642209291,0.0013918355107307434
1767952725.7653422,-0.0006037171697244048,0.0016452947165817022,0.0014256071299314499
1767952725.7693305,-0.0006289689335972071,0.0016555666225031018,0.0014614276587963104
1767952725.7733238,-0.0006289689335972071,0.0016555666225031018,0.0014614276587963104
1767952725.7772975,-0.0006289689335972071,0.0016555666225031018,0.0014614276587963104
1767952725.7812872,-0.0006534952553920448,0.0016643868293613195,0.0015010349452495575
1767952725.785279,-0.0006534952553920448,0.0016643868293613195,0.0015010349452495575
1767952725.7892456,-0.0006779528339393437,0.001672108774073422,0.0015141479671001434
1767952725.7932413,-0.0004037762701045722,-0.007766694761812687,0.012356309220194817
1767952725.7972262,-0.0004037762701045722,-0.007766694761812687,0.012356309220194817
1767952725.8012075,-0.0004037762701045722,-0.007766694761812687,0.012356309220194817
1767952725.8051896,-0.00039208156522363424,-0.007787564769387245,0.012224821373820305
1767952725.8091965,-0.00039208156522363424,-0.007787564769387245,0.012224821373820305
1767952725.813196,-0.000379166507627815,-0.0078110299073159695,0.012185042724013329
1767952725.8171773,-0.000379166507627815,-0.0078110299073159695,0.012185042724013329
1767952725.821196,-0.0003636869369074702,-0.007834970019757748,0.01214405708014965
1767952725.8251426,-0.0003636869369074702,-0.007834970019757748,0.01214405708014965
1767952725.8291533,-0.00034455626155249774,-0.007855438627302647,0.012100204825401306
1767952725.8331404,-0.0003203533124178648,-0.007874714210629463,0.012053512036800385
1767952725.8371346,-0.0003203533124178648,-0.007874714210629463,0.012053512036800385
1767952725.8411143,-0.0003203533124178648,-0.007874714210629463,0.012053512036800385
1767952725.8451035,-0.0002945282030850649,-0.007891787216067314,0.012002753093838692
1767952725.8491151,-0.0002945282030850649,-0.007891787216067314,0.012002753093838692
1767952725.8531399,-0.0002685803337953985,-0.00790653470903635,0.0119472686201334
1767952725.8571053,-0.0002685803337953985,-0.00790653470903635,0.0119472686201334
1767952725.8610816,-0.00024276123440358788,-0.00791908148676157,0.011652601882815361
1767952725.8650875,-0.00021747397840954363,-0.007931564934551716,0.011364419013261795
1767952725.8690786,-0.00021747397840954363,-0.007931564934551716,0.011364419013261795
1767952725.8730795,-0.00021747397840954363,-0.007931564934551716,0.011364419013261795
1767952725.8770652,-0.0001938536879606545,-0.007942486554384232,0.011083528399467468
1767952725.881056,-0.00017227443458978087,-0.007951272651553154,0.0108103659003973
1767952725.88505,-0.00017227443458978087,-0.007951272651553154,0.0108103659003973
1767952725.889051,-0.00017227443458978087,-0.007951272651553154,0.0108103659003973
1767952725.893055,-0.00015000921848695725,-0.007959626615047455,0.01054232008755207
1767952725.89707,-0.00012594091822393239,-0.007965664379298687,0.010279607027769089
1767952725.9010623,-0.00012594091822393239,-0.007965664379298687,0.010279607027769089
1767952725.9077258,-0.00012594091822393239,-0.007965664379298687,0.010279607027769089
1767952725.9103916,-0.00010275307431584224,-0.007969207130372524,0.010022619739174843
1767952725.9141095,-0.00010275307431584224,-0.007969207130372524,0.010022619739174843
1767952725.920569,-7.776833808748052e-05,-0.007972312159836292,0.009713411331176758
1767952725.9269798,-5.070707993581891e-05,-0.007974397391080856,0.00941222533583641
1767952725.9298685,-5.070707993581891e-05,-0.007974397391080856,0.00941222533583641
1767952725.9370737,-2.3279299057321623e-05,-0.007975494489073753,0.009121065959334373
1767952725.9383311,-2.3279299057321623e-05,-0.007975494489073753,0.009121065959334373
1767952725.9420185,2.7946734917350113e-06,-0.00797441229224205,0.008840443566441536
